,Sampling1,Sampling2,Sampling3,Sampling4,Sampling5
M1,0.9836065573770492,0.8524590163934426,0.8852459016393442,0.9344262295081968,0.9180327868852459
M2,0.8688524590163934,0.9672131147540983,0.9508196721311475,0.9672131147540983,0.9508196721311475
M3,0.9672131147540983,1.0,0.9836065573770492,0.9836065573770492,0.9836065573770492
M4,0.7377049180327869,0.5901639344262295,0.7213114754098361,0.6721311475409836,0.6885245901639344
M5,0.7377049180327869,0.7213114754098361,0.7540983606557377,0.7377049180327869,0.6721311475409836
